"Testcase","ErrorMessage"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""test100@test100.test\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\""...)","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.AnAuthUserTest(newUser: { displayName = Integration Test4, email = test4@test4.test, roles = Readonly,Developer }, newProfile: { displayName = Integration Test4, email = test4@test4.test, roles = Readonly,Developer,Legal,Sales }, expectedResult: [\""17\"", \""23\""])","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.AnAuthUserTest(newUser: { displayName = Integration Test5, email = test5@test5.test, roles = Readonly,Developer }, newProfile: { displayName = Integration Test5, email = test5-1@test5-1.test, roles = Readonly,Developer }, expectedResult: [\""17\"", \""test5-1@test5-1.test\""])","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.AnAuthUserTest(newUser: { displayName = Integration Test6, email = test6@test6.test, roles = Readonly,Developer }, newProfile: { displayName = Integration Test6, email = test6@test6.test, roles = Readonly,Developer,Blablabla }, expectedResult: [\""17\"", \""17\""])","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.SwitchActiveUserTest(newUser: { displayName = Integration Test7, email = test7@test7.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.AuthUserAPIQueryTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiJobsIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiJobsIntegrationTest.TriggerJobTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiJobsIntegrationTest.JobDataModelTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiJobsIntegrationTest.JobsContentsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.GetAccessAPITest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.PostDataModelTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.CreateNewReleaseTrackTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.AccessReleaseTrackIDTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiReleaseTracksIntegrationTest.UpdateReleaseTrackTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiSignupRequestIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiSignupRequestIntegrationTest.CreateSignupRequestTest(userProfile: { name = namef1c3fc4f-90a1-4062-bc09-bdba7323dfe6, email = 4c7447fd-f650-440c-a840-e3965b6a49d8@unity3d.com, role = Readonly,Developer,Role, notes = notese3367d2b-8953-4dd9-a22c-f36a6ee9ebb9 })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiVersionsIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiVersionsIntegrationTest.GetAccessAPITest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiVersionsIntegrationTest.GetAccessAPIWithFilterTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.GetAccessAPITest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.GetAccessAPIWithIdTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.BuildsWithKatanaTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.GetNonExistingBuildTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.PromoteBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.CancelPromoteBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.PromoteCancelledBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.PublishBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.CancelPublishBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiBuildsIntegrationTest.PublishCancelledBuildTest","System.AggregateException : One or more errors occurred. (An error occurred while sending the request.)\r\n---- System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n-------- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.GetAccessAPITest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.SkipLogEntriesTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.SkipLogEntriesBoundaryTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.TakeLogEntriesTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuditLogEntriesIntegrationTest.TakeLogEntriesBoundaryTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
